,Unnamed: 0,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
33914,33914,1,29707.86,29707.86,0.0,10935.0,0.0,1
34168,34168,4,43092.0,43092.0,0.0,0.0,0.0,1
34169,34169,1,43092.0,43092.0,0.0,660641.74,1158662.9,1
36026,36026,4,556218.01,556218.01,0.0,0.0,0.0,1
36027,36027,1,556218.01,556218.01,0.0,0.0,582265.81,1
36691,36691,4,11308.0,11308.0,0.0,0.0,0.0,1
36692,36692,1,11308.0,11308.0,0.0,0.0,302550.56,1
47144,47144,4,350705.74,350705.74,0.0,0.0,1184633.07,1
47145,47145,1,350705.74,350705.74,0.0,894760.68,1794033.65,1
49825,49825,4,2539898.07,2539898.07,0.0,0.0,261290.69,1
49826,49826,1,2539898.07,2539898.07,0.0,968.0,1842864.22,1
49885,49885,4,361559.69,361559.69,0.0,0.0,141302.12,1
49886,49886,1,361559.69,361559.69,0.0,504667.31,189441.24,1
56477,56477,4,1154353.99,1154353.99,0.0,0.0,10872.9,1
56478,56478,1,1154353.99,1154353.99,0.0,162222.0,1965587.6,1
58307,58307,4,21922.0,21922.0,0.0,0.0,0.0,1
58308,58308,1,21922.0,21922.0,0.0,1929861.61,2046918.8,1
60853,60853,4,994453.2,1437370.87,442917.67,194812.76,665743.67,1
69201,69201,4,1055.0,1055.0,0.0,0.0,0.0,1
69202,69202,1,1055.0,1055.0,0.0,75179.0,0.0,1
72510,72510,4,244068.01,244068.01,0.0,0.0,0.0,1
72511,72511,1,244068.01,244068.01,0.0,0.0,338538.16,1
72930,72930,4,59835.0,59835.0,0.0,0.0,0.0,1
72931,72931,1,59835.0,59835.0,0.0,255480.76,315315.76,1
77745,77745,1,277970.88,0.0,0.0,0.0,277970.88,1
90070,90070,4,93810.76,93810.76,0.0,0.0,0.0,1
90071,90071,1,93810.76,93810.76,0.0,4096048.05,4189858.81,1
99371,99371,4,503405.88,503405.88,0.0,0.0,0.0,1
99372,99372,1,503405.88,503405.88,0.0,29669.0,533074.88,1
102180,102180,4,2662734.59,2662734.59,0.0,0.0,0.0,1
102181,102181,1,2662734.59,2662734.59,0.0,14165.62,2930405.33,1
102607,102607,4,9217.19,9217.19,0.0,0.0,96795.6,1
102608,102608,1,9217.19,9217.19,0.0,0.0,9217.19,1
136419,136419,4,2100.0,2100.0,0.0,0.0,0.0,1
136420,136420,1,2100.0,2100.0,0.0,112512.48,114612.48,1
138559,138559,4,1933920.8,0.0,0.0,1283762.85,3217683.65,1
141634,141634,4,313418.28,313418.28,0.0,0.0,97980.88,1
141635,141635,1,313418.28,313418.28,0.0,688164.64,1029922.17,1
142087,142087,4,12461.0,12461.0,0.0,0.0,0.0,1
142088,142088,1,12461.0,12461.0,0.0,27964.11,40425.11,1
146627,146627,4,19472.0,19472.0,0.0,0.0,0.0,1
146628,146628,1,19472.0,19472.0,0.0,0.0,19472.0,1
151657,151657,4,3964129.99,3964129.99,0.0,0.0,0.0,1
151658,151658,1,3964129.99,3964129.99,0.0,1912955.54,5811064.07,1
151924,151924,4,1041647.06,1041647.06,0.0,0.0,0.0,1
151925,151925,1,1041647.06,1041647.06,0.0,52730.33,1094377.39,1
167556,167556,4,2066467.64,2066467.64,0.0,0.0,81209.81,1
167557,167557,1,2066467.64,2066467.64,0.0,194510.24,3098566.67,1
169998,169998,1,149668.66,0.0,0.0,44170.11,193838.76,1
174584,174584,4,2007.0,2007.0,0.0,0.0,0.0,1
174585,174585,1,2007.0,2007.0,0.0,129917.8,250910.76,1
178668,178668,1,222048.71,0.0,0.0,2979.0,225027.71,1
181900,181900,4,8677.0,8677.0,0.0,0.0,0.0,1
181901,181901,1,8677.0,8677.0,0.0,225127.62,233804.62,1
182861,182861,4,408.0,408.0,0.0,0.0,226013.18,1
182862,182862,1,408.0,408.0,0.0,898297.85,1075854.14,1
193765,193765,4,48375.02,48375.02,0.0,0.0,0.0,1
193766,193766,1,48375.02,48375.02,0.0,374803.26,658520.33,1
196775,196775,4,4022667.54,4022667.54,0.0,0.0,0.0,1
196776,196776,1,4022667.54,4022667.54,0.0,80136.56,4057191.21,1
200845,200845,1,454859.39,0.0,0.0,0.0,454859.39,1
202361,202361,4,1161495.82,1161495.82,0.0,0.0,0.0,1
202362,202362,1,1161495.82,1161495.82,0.0,319036.02,1565123.81,1
204215,204215,4,2686564.04,2686564.04,0.0,0.0,0.0,1
204216,204216,1,2686564.04,2686564.04,0.0,438199.37,3124763.41,1
217320,217320,4,6188514.81,6188514.81,0.0,0.0,0.0,1
217321,217321,1,6188514.81,6188514.81,0.0,381607.21,6424681.56,1
217978,217978,4,123194.95,79466.45,0.0,535933.16,263908.84,1
222997,222997,4,2093951.47,2093951.47,0.0,0.0,0.0,1
222998,222998,1,2093951.47,2093951.47,0.0,0.0,2093951.47,1
241947,241947,4,143032.0,143032.0,0.0,0.0,0.0,1
241948,241948,1,143032.0,143032.0,0.0,814654.61,1020323.73,1
242982,242982,4,2927005.15,2927005.15,0.0,0.0,0.0,1
242983,242983,1,2927005.15,2927005.15,0.0,0.0,2994420.07,1
248771,248771,4,1832319.42,1832319.42,0.0,0.0,0.0,1
248772,248772,1,1832319.42,1832319.42,0.0,43962.42,2440139.69,1
255701,255701,4,1561891.66,1561891.66,0.0,0.0,0.0,1
255702,255702,1,1561891.66,1561891.66,0.0,3471928.95,6443177.56,1
259844,259844,4,65488.05,65488.05,0.0,0.0,0.0,1
259845,259845,1,65488.05,65488.05,0.0,0.0,65488.05,1
271116,271116,4,696763.08,696763.08,0.0,0.0,69861.26,1
271117,271117,1,696763.08,696763.08,0.0,366114.58,1347073.81,1
277265,277265,4,119.0,119.0,0.0,0.0,0.0,1
277266,277266,1,119.0,119.0,0.0,4844060.13,4844179.13,1
277990,277990,4,128473.62,128473.62,0.0,0.0,0.0,1
277991,277991,1,128473.62,128473.62,0.0,0.0,128473.62,1
285019,285019,4,248056.41,248056.41,0.0,0.0,0.0,1
285020,285020,1,248056.41,248056.41,0.0,0.0,201427.47,1
286185,286185,4,164500.81,164500.81,0.0,0.0,0.0,1
286186,286186,1,164500.81,164500.81,0.0,685636.21,850137.02,1
288376,288376,4,212089.74,212089.74,0.0,0.0,0.0,1
288377,288377,1,212089.74,212089.74,0.0,257758.48,469848.23,1
291459,291459,1,95428.32,0.0,0.0,0.0,95428.32,1
296686,296686,1,39713.28,0.0,0.0,1274866.51,1314579.79,1
301801,301801,4,170.0,170.0,0.0,0.0,0.0,1
301802,301802,1,170.0,170.0,0.0,413421.36,345764.15,1
302331,302331,4,747282.4,747282.4,0.0,0.0,0.0,1
302332,302332,1,747282.4,747282.4,0.0,5340917.82,6088200.22,1
303659,303659,4,59385.67,59385.67,0.0,0.0,0.0,1
303660,303660,1,59385.67,59385.67,0.0,74371.0,133756.67,1
318373,318373,4,2198224.71,2198224.71,0.0,0.0,0.0,1
318374,318374,1,2198224.71,2198224.71,0.0,0.0,2198224.71,1
327761,327761,4,828720.89,828720.89,0.0,0.0,0.0,1
327762,327762,1,828720.89,828720.89,0.0,9142622.59,10184336.54,1
338007,338007,4,2701905.3,2701905.3,0.0,0.0,0.0,1
338008,338008,1,2701905.3,2701905.3,0.0,57418.0,2759323.3,1
343300,343300,4,31074.0,31074.0,0.0,0.0,0.0,1
343301,343301,1,31074.0,31074.0,0.0,0.0,31074.0,1
347734,347734,4,121626.82,121626.82,0.0,0.0,0.0,1
347735,347735,1,121626.82,121626.82,0.0,653744.34,775371.16,1
368258,368258,4,1639676.27,1639676.27,0.0,0.0,0.0,1
368259,368259,1,1639676.27,1639676.27,0.0,448954.92,2198318.48,1
369526,369526,4,305627.0,305627.0,0.0,0.0,0.0,1
369527,369527,1,305627.0,305627.0,0.0,7699847.16,8005474.16,1
376840,376840,4,195351.76,195351.76,0.0,0.0,0.0,1
376841,376841,1,195351.76,195351.76,0.0,156408.25,265841.0,1
377151,377151,1,42062.82,340830.43,298767.61,398931.35,678419.64,1
397546,397546,4,295664.18,295664.18,0.0,0.0,0.0,1
397547,397547,1,295664.18,295664.18,0.0,10184336.54,10480000.72,1
404428,404428,4,307739.18,307739.18,0.0,0.0,0.0,1
404429,404429,1,307739.18,307739.18,0.0,25326.0,838246.41,1
408955,408955,1,314251.58,75956.47,0.0,7962205.25,8276456.84,1
410905,410905,4,1102133.9,1102133.9,0.0,0.0,746575.95,1
410906,410906,1,1102133.9,1102133.9,0.0,306228.56,1408362.45,1
414521,414521,4,1144089.37,1144089.37,0.0,0.0,0.0,1
414522,414522,1,1144089.37,1144089.37,0.0,2502877.26,3879210.29,1
421523,421523,4,1974352.3,1974352.3,0.0,0.0,0.0,1
421524,421524,1,1974352.3,1974352.3,0.0,15531.71,1989884.01,1
421585,421585,4,11481.0,11481.0,0.0,0.0,263492.28,1
421586,421586,1,11481.0,11481.0,0.0,761417.61,1765080.5,1
424928,424928,1,508782.2,0.0,0.0,1082007.65,1590789.85,1
437291,437291,4,9131.0,9131.0,0.0,0.0,0.0,1
437292,437292,1,9131.0,9131.0,0.0,133084.02,142215.02,1
464597,464597,4,143660.11,143660.11,0.0,0.0,0.0,1
464598,464598,1,143660.11,143660.11,0.0,0.0,143660.11,1
474966,474966,4,3477438.49,3477438.49,0.0,0.0,0.0,1
474967,474967,1,3477438.49,3477438.49,0.0,0.0,3477438.49,1
479636,479636,1,122101.57,0.0,0.0,0.0,639940.2,1
480463,480463,4,161939.36,161939.36,0.0,0.0,0.0,1
480464,480464,1,161939.36,161939.36,0.0,628935.02,851972.34,1
481250,481250,4,10000000.0,11861008.32,1861008.32,0.0,0.0,1
481251,481251,1,10000000.0,10000000.0,0.0,504326.62,10342417.9,1
481252,481252,4,1861008.32,1861008.32,0.0,0.0,0.0,1
481253,481253,1,1861008.32,1861008.32,0.0,0.0,1789942.62,1
499609,499609,4,16614.82,16614.82,0.0,0.0,0.0,1
499610,499610,1,16614.82,16614.82,0.0,904409.29,921024.11,1
522655,522655,4,448025.06,448025.06,0.0,0.0,0.0,1
522656,522656,1,448025.06,448025.06,0.0,71679.93,519704.99,1
537962,537962,4,785323.0,785323.0,0.0,0.0,0.0,1
537963,537963,1,785323.0,785323.0,0.0,803839.25,1720783.92,1
538753,538753,4,158299.34,158299.34,0.0,0.0,0.0,1
538754,538754,1,158299.34,158299.34,0.0,36152.54,271369.74,1
543928,543928,1,23292.3,0.0,0.0,392364.62,415656.92,1
553050,553050,4,346704.55,346704.55,0.0,0.0,0.0,1
553051,553051,1,346704.55,346704.55,0.0,513994.79,860699.34,1
554857,554857,4,461509.86,461509.86,0.0,0.0,0.0,1
554858,554858,1,461509.86,461509.86,0.0,302583.81,764093.67,1
554875,554875,4,37100.29,37100.29,0.0,0.0,0.0,1
554876,554876,1,37100.29,37100.29,0.0,433212.41,470312.7,1
555101,555101,4,235512.2,235512.2,0.0,0.0,0.0,1
555102,555102,1,235512.2,235512.2,0.0,8490637.21,9272647.09,1
555789,555789,4,2068118.36,2068118.36,0.0,0.0,0.0,1
555790,555790,1,2068118.36,2068118.36,0.0,3054285.45,5122403.81,1
556187,556187,4,74804.24,74804.24,0.0,0.0,0.0,1
556188,556188,1,74804.24,74804.24,0.0,0.0,74804.24,1
556508,556508,4,489767.32,489767.32,0.0,0.0,0.0,1
556509,556509,1,489767.32,489767.32,0.0,0.0,489767.32,1
556521,556521,4,379878.0,379878.0,0.0,0.0,0.0,1
556522,556522,1,379878.0,379878.0,0.0,1301414.19,1681292.19,1
559979,559979,1,89571.46,4505.6,0.0,1929428.01,2018999.47,1
562125,562125,4,1258956.71,1258956.71,0.0,0.0,0.0,1
562126,562126,1,1258956.71,1258956.71,0.0,4736010.72,5994967.43,1
562242,562242,4,77773.14,77773.14,0.0,0.0,0.0,1
562243,562243,1,77773.14,77773.14,0.0,1853403.61,1931176.75,1
562862,562862,4,239646.72,239646.72,0.0,0.0,0.0,1
562863,562863,1,239646.72,239646.72,0.0,2208970.26,2448616.98,1
566149,566149,4,146127.1,146127.1,0.0,0.0,0.0,1
566150,566150,1,146127.1,146127.1,0.0,177874.39,324001.49,1
571496,571496,4,291305.98,291305.98,0.0,0.0,0.0,1
571497,571497,1,291305.98,291305.98,0.0,954554.82,1247963.68,1
572194,572194,4,986876.27,986876.27,0.0,0.0,0.0,1
572195,572195,1,986876.27,986876.27,0.0,57853.96,1044730.24,1
572854,572854,4,6844.73,6844.73,0.0,0.0,0.0,1
572855,572855,1,6844.73,6844.73,0.0,264100.7,270945.42,1
574433,574433,4,8383.17,8383.17,0.0,0.0,0.0,1
574434,574434,1,8383.17,8383.17,0.0,6577262.64,6585645.81,1
574482,574482,4,781953.11,781953.11,0.0,0.0,0.0,1
574483,574483,1,781953.11,781953.11,0.0,0.0,781953.11,1
574713,574713,4,217231.0,217231.0,0.0,0.0,0.0,1
574714,574714,1,217231.0,217231.0,0.0,7236671.1,7453902.1,1
574957,574957,4,44829.81,44829.81,0.0,0.0,0.0,1
574958,574958,1,44829.81,44829.81,0.0,301552.31,346382.12,1
574960,574960,4,296333.54,296333.54,0.0,0.0,0.0,1
574961,574961,1,296333.54,296333.54,0.0,3355664.68,3651998.22,1
574991,574991,4,18126.95,18126.95,0.0,0.0,0.0,1
574992,574992,1,18126.95,18126.95,0.0,0.0,18126.95,1
575028,575028,4,249159.26,249159.26,0.0,0.0,0.0,1
575029,575029,1,249159.26,249159.26,0.0,285997.41,535156.67,1
575511,575511,4,1698263.69,1698263.69,0.0,0.0,0.0,1
575512,575512,1,1698263.69,1698263.69,0.0,0.0,1698263.69,1
575768,575768,4,802382.45,802382.45,0.0,0.0,0.0,1
575769,575769,1,802382.45,802382.45,0.0,0.0,802382.45,1
575854,575854,4,37065.55,37065.55,0.0,0.0,0.0,1
575855,575855,1,37065.55,37065.55,0.0,1396327.66,1433393.21,1
576000,576000,4,369186.87,369186.87,0.0,0.0,0.0,1
576001,576001,1,369186.87,369186.87,0.0,36224.11,405410.97,1
576022,576022,4,78741.64,78741.64,0.0,0.0,0.0,1
576023,576023,1,78741.64,78741.64,0.0,48628.52,127370.16,1
576027,576027,4,1646181.09,1646181.09,0.0,0.0,0.0,1
576028,576028,1,1646181.09,1646181.09,0.0,220025.2,1866206.29,1
576160,576160,4,331829.94,331829.94,0.0,0.0,0.0,1
576161,576161,1,331829.94,331829.94,0.0,792855.99,1124685.94,1
576166,576166,4,1027152.36,1027152.36,0.0,0.0,0.0,1
576167,576167,1,1027152.36,1027152.36,0.0,519428.56,1546580.92,1
576300,576300,4,494244.61,494244.61,0.0,0.0,0.0,1
576301,576301,1,494244.61,494244.61,0.0,653451.43,1147696.03,1
576319,576319,4,329937.88,329937.88,0.0,0.0,0.0,1
576320,576320,1,329937.88,329937.88,0.0,349407.23,679345.1,1
576324,576324,4,496128.26,496128.26,0.0,0.0,0.0,1
576325,576325,1,496128.26,496128.26,0.0,465770.07,961898.33,1
576332,576332,4,1218165.88,1218165.88,0.0,0.0,0.0,1
576333,576333,1,1218165.88,1218165.88,0.0,742564.27,1960730.15,1
576334,576334,4,3832058.34,3832058.34,0.0,0.0,0.0,1
576335,576335,1,3832058.34,3832058.34,0.0,531662.14,4363720.48,1
576336,576336,4,491517.77,491517.77,0.0,0.0,0.0,1
576337,576337,1,491517.77,491517.77,0.0,518777.34,1010295.11,1
576338,576338,4,340198.41,340198.41,0.0,0.0,0.0,1
576339,576339,1,340198.41,340198.41,0.0,1614043.79,1954242.21,1
576340,576340,4,268641.82,268641.82,0.0,0.0,0.0,1
576341,576341,1,268641.82,268641.82,0.0,197163.95,465805.77,1
576342,576342,4,122235.11,122235.11,0.0,0.0,0.0,1
576343,576343,1,122235.11,122235.11,0.0,0.0,122235.11,1
576344,576344,4,236947.25,236947.25,0.0,0.0,0.0,1
576345,576345,1,236947.25,236947.25,0.0,70084.28,307031.53,1
576346,576346,4,19016.22,19016.22,0.0,0.0,0.0,1
576347,576347,1,19016.22,19016.22,0.0,9347999.52,9367015.74,1
576348,576348,4,109401.88,109401.88,0.0,0.0,0.0,1
576349,576349,1,109401.88,109401.88,0.0,245588.62,354990.5,1
576350,576350,4,335219.49,335219.49,0.0,0.0,0.0,1
576351,576351,1,335219.49,335219.49,0.0,111675.56,446895.05,1
576352,576352,4,120406.39,120406.39,0.0,0.0,0.0,1
576353,576353,1,120406.39,120406.39,0.0,0.0,120406.39,1
576354,576354,4,21516.38,21516.38,0.0,0.0,0.0,1
576355,576355,1,21516.38,21516.38,0.0,900122.84,921639.22,1
576356,576356,4,378204.02,378204.02,0.0,0.0,0.0,1
576357,576357,1,378204.02,378204.02,0.0,0.0,378204.02,1
576358,576358,4,5021186.54,5021186.54,0.0,0.0,0.0,1
576359,576359,1,5021186.54,5021186.54,0.0,880859.14,5902045.68,1
576360,576360,4,587031.2,587031.2,0.0,0.0,0.0,1
576361,576361,1,587031.2,587031.2,0.0,338247.75,925278.94,1
576362,576362,4,81867.07,81867.07,0.0,0.0,0.0,1
576363,576363,1,81867.07,81867.07,0.0,135117.98,216985.05,1
576364,576364,4,2023920.09,2023920.09,0.0,0.0,0.0,1
576365,576365,1,2023920.09,2023920.09,0.0,1530400.88,3554320.97,1
576366,576366,4,404165.06,404165.06,0.0,0.0,0.0,1
576367,576367,1,404165.06,404165.06,0.0,0.0,404165.06,1
576368,576368,4,1164448.96,1164448.96,0.0,0.0,0.0,1
576369,576369,1,1164448.96,1164448.96,0.0,1080246.34,2244695.29,1
576370,576370,4,401575.19,401575.19,0.0,0.0,0.0,1
576371,576371,1,401575.19,401575.19,0.0,0.0,401575.19,1
576372,576372,4,604933.67,604933.67,0.0,0.0,0.0,1
576373,576373,1,604933.67,604933.67,0.0,35839.7,640773.38,1
580449,580449,4,3295227.84,3295227.84,0.0,0.0,0.0,1
580450,580450,1,3295227.84,3295227.84,0.0,0.0,4002861.53,1
584083,584083,4,214975.9,214975.9,0.0,0.0,0.0,1
584084,584084,1,214975.9,214975.9,0.0,152331.28,374513.69,1
586311,586311,4,10000000.0,19887819.06,9887819.06,0.0,0.0,1
586312,586312,1,10000000.0,10000000.0,0.0,0.0,10000000.0,1
586313,586313,4,9887819.06,9887819.06,0.0,0.0,0.0,1
586314,586314,1,9887819.06,9887819.06,0.0,801913.95,10165200.11,1
590490,590490,4,1448630.38,1448630.38,0.0,0.0,0.0,1
590491,590491,1,1448630.38,1448630.38,0.0,1294571.45,2743201.82,1
597895,597895,4,6648389.9,6648389.9,0.0,0.0,0.0,1
597896,597896,1,6648389.9,6648389.9,0.0,2609209.55,9257599.45,1
605778,605778,4,51424.22,51424.22,0.0,0.0,0.0,1
605779,605779,1,51424.22,51424.22,0.0,87252.78,138677.0,1
610270,610270,4,428239.03,428239.03,0.0,0.0,0.0,1
610271,610271,1,428239.03,428239.03,0.0,293130.02,1456009.92,1
610619,610619,4,52557.21,52557.21,0.0,0.0,0.0,1
610620,610620,1,52557.21,52557.21,0.0,0.0,52557.21,1
611234,611234,4,1462355.44,1462355.44,0.0,0.0,0.0,1
611235,611235,1,1462355.44,1462355.44,0.0,1544724.84,3007080.29,1
612090,612090,4,27951.26,27951.26,0.0,0.0,0.0,1
612091,612091,1,27951.26,27951.26,0.0,10439.0,698752.71,1
615174,615174,4,989311.12,989311.12,0.0,0.0,0.0,1
615175,615175,1,989311.12,989311.12,0.0,1009370.24,1998681.36,1
616561,616561,4,865948.49,865948.49,0.0,0.0,0.0,1
616562,616562,1,865948.49,865948.49,0.0,0.0,865948.49,1
616791,616791,4,30917.39,30917.39,0.0,0.0,0.0,1
616792,616792,1,30917.39,30917.39,0.0,339926.42,370843.82,1
620987,620987,4,40458.0,40458.0,0.0,0.0,0.0,1
620988,620988,1,40458.0,40458.0,0.0,561393.36,331179.02,1
622611,622611,4,1016540.35,1016540.35,0.0,0.0,0.0,1
622612,622612,1,1016540.35,1016540.35,0.0,4463851.64,5700161.74,1
626937,626937,4,71693.42,71693.42,0.0,0.0,0.0,1
626938,626938,1,71693.42,71693.42,0.0,0.0,71693.42,1
637350,637350,4,472692.51,472692.51,0.0,0.0,0.0,1
637351,637351,1,472692.51,472692.51,0.0,193065.83,665758.34,1
640263,640263,4,122032.62,122032.62,0.0,0.0,0.0,1
640264,640264,1,122032.62,122032.62,0.0,0.0,122032.62,1
643435,643435,4,3606943.31,3606943.31,0.0,0.0,0.0,1
643436,643436,1,3606943.31,3606943.31,0.0,0.0,3606943.31,1
643671,643671,1,112280.88,0.0,0.0,40512.49,152793.36,1
646014,646014,4,171788.82,171788.82,0.0,0.0,0.0,1
646015,646015,1,171788.82,171788.82,0.0,19962.0,0.0,1
650133,650133,4,9465988.82,9465988.82,0.0,0.0,0.0,1
650134,650134,1,9465988.82,9465988.82,0.0,0.0,9465988.82,1
651947,651947,4,454511.73,454511.73,0.0,0.0,0.0,1
651948,651948,1,454511.73,454511.73,0.0,140892.24,595403.98,1
653948,653948,4,136983.26,136983.26,0.0,0.0,0.0,1
653949,653949,1,136983.26,136983.26,0.0,0.0,136983.26,1
665637,665637,4,326884.31,326884.31,0.0,0.0,0.0,1
665638,665638,1,326884.31,326884.31,0.0,337428.2,664312.51,1
667026,667026,4,2352524.18,2352524.18,0.0,0.0,0.0,1
667027,667027,1,2352524.18,2352524.18,0.0,1227902.12,3580426.31,1
667085,667085,4,113338.99,113338.99,0.0,0.0,0.0,1
667086,667086,1,113338.99,113338.99,0.0,3290608.15,3403947.14,1
675536,675536,4,886592.76,886592.76,0.0,0.0,0.0,1
675537,675537,1,886592.76,886592.76,0.0,112531.06,999123.82,1
680190,680190,4,819503.92,819503.92,0.0,0.0,0.0,1
680191,680191,1,819503.92,819503.92,0.0,255585.23,1470226.48,1
683722,683722,4,636.0,636.0,0.0,0.0,0.0,1
683723,683723,1,636.0,636.0,0.0,0.0,636.0,1
687403,687403,4,32382.96,32382.96,0.0,0.0,0.0,1
687404,687404,1,32382.96,32382.96,0.0,0.0,32382.96,1
687726,687726,4,103056.0,103056.0,0.0,0.0,0.0,1
